iter	Passed	Remaining
298	12340	70207
299	12380	70156
300	12418	70097
301	12459	70052
302	12499	70003
303	12538	69949
304	12574	69880
305	12613	69829
306	12652	69771
307	12693	69734
308	12733	69682
309	12770	69619
310	12811	69575
311	12851	69531
312	12893	69494
313	12932	69441
314	12970	69383
315	13011	69339
316	13050	69288
317	13093	69256
318	13134	69215
319	13172	69153
320	13211	69101
321	13248	69037
322	13284	68971
323	13320	68905
324	13360	68855
325	13398	68801
326	13439	68760
327	13478	68709
328	13515	68644
329	13553	68589
330	13592	68537
331	13635	68505
332	13674	68452
333	13720	68437
334	13757	68376
335	13796	68324
336	13838	68290
337	13879	68249
338	13920	68204
339	13959	68153
340	13999	68108
341	14037	68054
342	14078	68012
343	14124	67996
344	14166	67956
345	14205	67908
346	14244	67854
347	14288	67831
348	14328	67783
349	14366	67726
350	14405	67675
351	14445	67632
352	14483	67577
353	14522	67525
354	14558	67461
355	14597	67411
356	14636	67360
357	14673	67301
358	14712	67250
359	14751	67201
360	14790	67152
361	14827	67094
362	14867	67046
363	14909	67011
364	14949	66965
365	14987	66912
366	15028	66869
367	15066	66815
368	15115	66810
369	15154	66759
370	15192	66709
371	15234	66670
372	15276	66633
373	15314	66583
374	15352	66528
375	15391	66476
376	15428	66422
377	15472	66392
378	15511	66345
379	15552	66301
380	15590	66250
381	15629	66201
382	15669	66157
383	15713	66128
384	15751	66073
385	15791	66031
386	15832	65987
387	15869	65930
388	15915	65912
389	15957	65874
390	15994	65817
391	16043	65810
392	16090	65796
393	16139	65785
394	16192	65796
395	16233	65752
396	16281	65742
397	16340	65774
398	16395	65787
399	16443	65773
400	16505	65815
401	16563	65840
402	16614	65840
403	16669	65854
404	16727	65877
405	16777	65869
406	16818	65825
407	16862	65795
408	16899	65738
409	16943	65708
410	16981	65653
411	17032	65651
412	17080	65633
413	17139	65661
414	17185	65635
415	17233	65619
416	17283	65609
417	17330	65590
418	17381	65586
419	17425	65552
420	17468	65517
421	17510	65479
422	17556	65454
423	17601	65425
424	17665	65465
425	17713	65448
426	17773	65476
427	17829	65485
428	17874	65455
429	17912	65402
430	17956	65367
431	17998	65327
432	18038	65281
433	18083	65251
434	18122	65198
435	18171	65182
436	18218	65162
437	18263	65131
438	18310	65107
439	18357	65086
440	18402	65054
441	18446	65021
442	18487	64978
443	18532	64946
444	18578	64921
445	18626	64901
446	18671	64870
447	18718	64847
448	18762	64813
449	18808	64785
450	18855	64760
451	18898	64721
452	18940	64682
453	18985	64650
454	19027	64610
455	19071	64575
456	19113	64534
457	19162	64515
458	19212	64502
459	19258	64474
460	19303	64441
461	19342	64392
462	19382	64342
463	19417	64279
464	19455	64223
465	19493	64169
466	19531	64114
467	19572	64070
468	19610	64014
469	19650	63968
470	19690	63920
471	19734	63887
472	19778	63851
473	19825	63825
474	19872	63801
475	19919	63776
476	19960	63730
477	20005	63699
478	20045	63652
479	20086	63608
480	20130	63572
481	20179	63551
482	20229	63536
483	20271	63494
484	20318	63469
485	20367	63449
486	20415	63427
487	20461	63396
488	20507	63366
489	20552	63336
490	20595	63297
491	20641	63266
492	20689	63242
493	20734	63211
494	20783	63190
495	20834	63175
496	20884	63157
497	20934	63138
498	20985	63125
499	21038	63115
500	21084	63086
501	21124	63038
502	21164	62989
503	21212	62963
504	21255	62923
505	21296	62879
506	21340	62843
507	21385	62809
508	21427	62766
509	21476	62743
510	21518	62702
511	21561	62661
512	21606	62630
513	21648	62585
514	21696	62561
515	21739	62523
516	21781	62479
517	21823	62436
518	21870	62407
519	21917	62379
520	21964	62352
521	22002	62299
522	22042	62249
523	22082	62200
524	22127	62167
525	22166	62115
526	22218	62103
527	22255	62045
528	22293	61992
529	22333	61943
530	22374	61897
531	22416	61857
532	22458	61813
533	22499	61768
534	22547	61743
535	22592	61708
536	22642	61686
537	22683	61640
538	22726	61601
539	22769	61562
540	22809	61514
541	22847	61460
542	22894	61431
543	22934	61384
544	22979	61348
545	23024	61313
546	23065	61269
547	23104	61218
548	23149	61183
549	23194	61148
550	23253	61151
551	23296	61109
552	23338	61068
553	23379	61023
554	23424	60987
555	23463	60937
556	23509	60904
557	23546	60849
558	23585	60799
559	23629	60760
560	23670	60717
561	23709	60664
562	23750	60621
563	23790	60573
564	23835	60538
565	23873	60485
566	23915	60443
567	23963	60414
568	24016	60400
569	24055	60350
570	24100	60313
571	24144	60277
572	24188	60238
573	24236	60212
574	24277	60164
575	24316	60116
576	24355	60066
577	24397	60021
578	24452	60013
579	24490	59959
580	24528	59908
581	24570	59864
582	24607	59810
583	24647	59761
584	24685	59710
585	24723	59657
586	24760	59602
587	24797	59548
588	24835	59496
589	24874	59445
590	24913	59396
591	24955	59354
592	24995	59306
593	25038	59265
594	25079	59221
595	25118	59172
596	25156	59119
597	25194	59068
598	25234	59019
599	25274	58974
600	25313	58924
601	25354	58878
602	25389	58820
603	25428	58770
604	25466	58720
605	25502	58663
606	25543	58620
607	25584	58575
608	25624	58528
609	25677	58510
610	25716	58461
611	25754	58409
612	25794	58363
613	25831	58311
614	25870	58262
615	25911	58216
616	25943	58151
617	25982	58103
618	26015	58041
619	26053	57989
620	26086	57928
621	26143	57919
622	26191	57890
623	26238	57858
624	26285	57827
625	26323	57776
626	26357	57716
627	26400	57677
628	26438	57626
629	26477	57579
630	26525	57548
631	26566	57504
632	26614	57474
633	26654	57429
634	26702	57399
635	26741	57350
636	26785	57313
637	26829	57275
638	26868	57225
639	26904	57171
640	26943	57123
641	26982	57075
642	27023	57031
643	27061	56981
644	27100	56931
645	27140	56885
646	27177	56833
647	27217	56787
648	27254	56733
649	27299	56698
650	27339	56653
651	27378	56605
652	27415	56553
653	27456	56507
654	27495	56459
655	27534	56412
656	27572	56362
657	27612	56315
658	27650	56266
659	27689	56218
660	27730	56173
661	27774	56135
662	27825	56113
663	27873	56082
664	27914	56038
665	27955	55995
666	27996	55950
667	28034	55901
668	28073	55852
669	28109	55799
670	28150	55755
671	28201	55732
672	28247	55698
673	28302	55681
674	28343	55636
675	28381	55586
676	28421	55541
677	28457	55488
678	28495	55438
679	28534	55390
680	28572	55340
681	28616	55302
682	28652	55248
683	28689	55197
684	28729	55152
685	28775	55118
686	28820	55081
687	28859	55034
688	28898	54987
689	28936	54938
690	28977	54893
691	29016	54847
692	29056	54799
693	29095	54752
694	29132	54701
695	29170	54652
696	29208	54603
697	29249	54559
698	29286	54509
699	29331	54472
700	29370	54424
701	29410	54379
702	29449	54333
703	29485	54280
704	29524	54233
705	29563	54185
706	29602	54138
707	29642	54092
708	29679	54043
709	29720	53998
710	29760	53953
711	29798	53904
712	29837	53858
713	29875	53808
714	29912	53759
715	29954	53717
716	29994	53672
717	30032	53623
718	30068	53571
719	30106	53523
720	30144	53473
721	30183	53426
722	30221	53378
723	30259	53330
724	30307	53300
725	30345	53251
726	30385	53205
727	30424	53159
728	30463	53112
729	30498	53058
730	30536	53011
731	30575	52964
732	30615	52919
733	30655	52874
734	30692	52824
735	30734	52782
736	30775	52739
737	30818	52699
738	30856	52652
739	30895	52606
740	30933	52558
741	30972	52511
742	31009	52461
743	31046	52412
744	31083	52362
745	31120	52313
746	31158	52264
747	31198	52219
748	31236	52171
749	31276	52128
750	31322	52093
751	31362	52048
752	31410	52017
753	31447	51967
754	31483	51916
755	31522	51869
756	31558	51819
757	31598	51774
758	31635	51724
759	31672	51676
760	31713	51634
761	31752	51588
762	31795	51548
763	31835	51504
764	31874	51457
765	31908	51404
766	31947	51358
767	31986	51311
768	32027	51269
769	32066	51222
770	32104	51175
771	32141	51125
772	32179	51078
773	32217	51031
774	32256	50985
775	32297	50942
776	32341	50904
777	32382	50862
778	32420	50815
779	32459	50769
780	32497	50723
781	32533	50672
782	32571	50625
783	32609	50578
784	32651	50536
785	32688	50488
786	32730	50446
787	32771	50405
788	32819	50373
789	32866	50340
790	32907	50296
791	32947	50253
792	32987	50209
793	33024	50161
794	33065	50117
795	33102	50069
796	33139	50021
797	33179	49976
798	33215	49927
799	33278	49917
800	33319	49875
801	33359	49830
802	33395	49781
803	33433	49733
804	33471	49687
805	33515	49649
806	33553	49602
807	33586	49547
808	33619	49494
809	33658	49448
810	33699	49406
811	33739	49362
812	33778	49316
813	33817	49271
814	33857	49227
815	33894	49180
816	33930	49130
817	33961	49073
818	33995	49021
819	34032	48973
820	34070	48927
821	34110	48884
822	34152	48843
823	34191	48797
824	34242	48769
825	34283	48727
826	34323	48683
827	34371	48651
828	34412	48609
829	34453	48566
830	34492	48521
831	34526	48470
832	34567	48427
833	34606	48382
834	34646	48339
835	34685	48294
836	34724	48249
837	34766	48207
838	34804	48162
839	34845	48119
840	34886	48077
841	34924	48031
842	34961	47983
843	35001	47940
844	35040	47895
845	35080	47851
846	35117	47804
847	35170	47778
848	35212	47738
849	35250	47692
850	35287	47644
851	35327	47600
852	35378	47572
853	35415	47525
854	35454	47480
855	35493	47435
856	35533	47392
857	35575	47350
858	35611	47301
859	35648	47254
860	35690	47213
861	35731	47172
862	35772	47130
863	35810	47083
864	35847	47037
865	35886	46992
866	35924	46946
867	35964	46903
868	36004	46859
869	36043	46815
870	36081	46769
871	36121	46726
872	36161	46683
873	36201	46639
874	36239	46593
875	36278	46549
876	36309	46494
877	36347	46447
878	36393	46413
879	36429	46365
880	36469	46321
881	36507	46276
882	36545	46230
883	36583	46184
884	36621	46138
885	36662	46096
886	36699	46050
887	36741	46009
888	36779	45963
889	36817	45918
890	36857	45875
891	36894	45828
892	36922	45771
893	36956	45719
894	36986	45665
895	37022	45617
896	37056	45566
897	37088	45513
898	37116	45456
899	37149	45404
900	37181	45352
901	37231	45321
902	37269	45276
903	37317	45243
904	37359	45202
905	37394	45154
906	37430	45106
907	37462	45054
908	37499	45007
909	37534	44958
910	37567	44907
911	37602	44858
912	37641	44815
913	37679	44770
914	37719	44727
915	37760	44685
916	37798	44640
917	37837	44597
918	37875	44551
919	37911	44504
920	37949	44460
921	37989	44416
922	38027	44372
923	38064	44325
924	38109	44289
925	38148	44246
926	38187	44202
927	38225	44157
928	38265	44114
929	38302	44068
930	38339	44022
931	38392	43994
932	38428	43947
933	38467	43903
934	38505	43859
935	38544	43815
936	38582	43771
937	38621	43727
938	38661	43684
939	38699	43639
940	38740	43598
941	38778	43553
942	38817	43509
943	38858	43468
944	38896	43423
945	38933	43378
946	38973	43335
947	39011	43291
948	39051	43248
949	39091	43206
950	39130	43162
951	39171	43121
952	39208	43075
953	39245	43030
954	39285	42987
955	39325	42945
956	39374	42912
957	39412	42868
958	39449	42822
959	39486	42776
960	39526	42734
961	39561	42687
962	39598	42641
963	39636	42597
964	39674	42552
965	39712	42508
966	39751	42464
967	39787	42418
968	39825	42373
969	39861	42327
970	39900	42283
971	39934	42235
972	39975	42194
973	40013	42150
974	40049	42103
975	40087	42059
976	40125	42014
977	40165	41972
978	40202	41926
979	40240	41882
980	40276	41836
981	40313	41791
982	40351	41746
983	40400	41714
984	40439	41671
985	40476	41626
986	40514	41581
987	40552	41537
988	40590	41493
989	40631	41452
990	40671	41410
991	40720	41377
992	40758	41332
993	40796	41288
994	40837	41248
995	40879	41207
996	40917	41164
997	40957	41121
998	40997	41079
999	41035	41035
1000	41074	40992
1001	41110	40946
1002	41148	40902
1003	41184	40856
1004	41223	40813
1005	41261	40769
1006	41299	40725
1007	41338	40682
1008	41384	40645
1009	41422	40602
1010	41460	40558
1011	41500	40516
1012	41539	40473
1013	41574	40426
1014	41611	40381
1015	41650	40338
1016	41690	40297
1017	41732	40256
1018	41772	40214
1019	41808	40169
1020	41845	40124
1021	41885	40082
1022	41923	40038
1023	41963	39995
1024	42001	39952
1025	42038	39908
1026	42074	39862
1027	42112	39818
1028	42151	39775
1029	42191	39733
1030	42233	39693
1031	42279	39657
1032	42315	39611
1033	42355	39569
1034	42402	39534
1035	42441	39491
1036	42476	39444
1037	42514	39401
1038	42555	39360
1039	42593	39317
1040	42632	39274
1041	42669	39229
1042	42708	39187
1043	42747	39144
1044	42784	39099
1045	42822	39056
1046	42862	39014
1047	42900	38971
1048	42938	38927
1049	42976	38883
1050	43016	38841
1051	43053	38796
1052	43094	38756
1053	43134	38714
1054	43171	38670
1055	43209	38626
1056	43247	38583
1057	43286	38540
1058	43324	38496
1059	43361	38452
1060	43406	38415
1061	43445	38373
1062	43481	38327
1063	43523	38287
1064	43559	38242
1065	43596	38198
1066	43635	38155
1067	43674	38112
1068	43711	38069
1069	43751	38027
1070	43791	37985
1071	43827	37940
1072	43866	37897
1073	43903	37853
1074	43941	37809
1075	43980	37767
1076	44015	37721
1077	44054	37678
1078	44091	37635
1079	44128	37590
1080	44170	37550
1081	44210	37509
1082	44247	37465
1083	44286	37423
1084	44326	37381
1085	44365	37338
1086	44417	37307
1087	44456	37264
1088	44493	37220
1089	44530	37177
1090	44571	37135
1091	44608	37092
1092	44652	37053
1093	44691	37011
1094	44729	36967
1095	44769	36926
1096	44808	36884
1097	44845	36840
1098	44883	36796
1099	44920	36753
1100	44957	36709
1101	44995	36666
1102	45034	36623
1103	45078	36585
1104	45117	36543
1105	45155	36500
1106	45193	36456
1107	45230	36413
1108	45267	36369
1109	45306	36326
1110	45342	36281
1111	45378	36237
1112	45419	36196
1113	45464	36159
1114	45504	36118
1115	45545	36077
1116	45585	36036
1117	45626	35995
1118	45666	35953
1119	45705	35911
1120	45746	35871
1121	45784	35827
1122	45821	35783
1123	45861	35742
1124	45905	35704
1125	45946	35663
1126	45983	35619
1127	46022	35577
1128	46060	35535
1129	46098	35492
1130	46138	35450
1131	46179	35409
1132	46216	35366
1133	46252	35321
1134	46292	35280
1135	46329	35236
1136	46366	35192
1137	46408	35152
1138	46456	35117
1139	46494	35074
1140	46532	35031
1141	46568	34987
1142	46607	34945
1143	46648	34904
1144	46688	34863
1145	46726	34820
1146	46764	34777
1147	46804	34736
1148	46845	34695
1149	46893	34660
1150	46930	34616
1151	46968	34573
1152	47005	34530
1153	47043	34487
1154	47082	34445
1155	47119	34401
1156	47159	34360
1157	47198	34318
1158	47237	34277
1159	47279	34236
1160	47318	34194
1161	47357	34152
1162	47398	34112
1163	47439	34071
1164	47490	34037
1165	47527	33994
1166	47565	33951
1167	47604	33910
1168	47643	33867
1169	47680	33824
1170	47719	33782
1171	47757	33740
1172	47797	33698
1173	47833	33654
1174	47871	33611
1175	47910	33569
1176	47949	33528
1177	47989	33486
1178	48027	33443
1179	48065	33401
1180	48101	33357
1181	48140	33315
1182	48178	33272
1183	48214	33229
1184	48251	33185
1185	48290	33143
1186	48327	33100
1187	48365	33057
1188	48404	33015
1189	48442	32973
1190	48485	32934
1191	48524	32892
1192	48559	32847
1193	48596	32804
1194	48636	32763
1195	48673	32720
1196	48712	32678
1197	48750	32636
1198	48787	32592
1199	48828	32552
1200	48867	32510
1201	48907	32469
1202	48945	32427
1203	48985	32385
1204	49023	32343
1205	49063	32301
1206	49099	32258
1207	49134	32213
1208	49171	32171
1209	49211	32129
1210	49252	32089
1211	49291	32047
1212	49329	32005
1213	49367	31962
1214	49406	31921
1215	49442	31877
1216	49484	31837
1217	49521	31794
1218	49560	31752
1219	49597	31709
1220	49634	31667
1221	49676	31627
1222	49717	31586
1223	49755	31544
1224	49794	31502
1225	49830	31458
1226	49867	31416
1227	49906	31374
1228	49945	31332
1229	49983	31290
1230	50022	31248
1231	50059	31205
1232	50096	31162
1233	50134	31120
1234	50173	31079
1235	50212	31037
1236	50251	30995
1237	50289	30953
1238	50331	30914
1239	50367	30870
1240	50408	30829
1241	50447	30788
1242	50485	30746
1243	50528	30706
1244	50568	30666
1245	50604	30622
1246	50645	30582
1247	50684	30540
1248	50723	30498
1249	50759	30455
1250	50798	30413
1251	50837	30372
1252	50875	30330
1253	50914	30289
1254	50953	30247
1255	50998	30209
1256	51042	30170
1257	51084	30131
1258	51120	30087
1259	51155	30043
1260	51193	30001
1261	51231	29959
1262	51269	29917
1263	51306	29874
1264	51346	29833
1265	51385	29792
1266	51422	29749
1267	51460	29707
1268	51513	29674
1269	51552	29632
1270	51591	29591
1271	51629	29549
1272	51670	29508
1273	51708	29466
1274	51748	29425
1275	51786	29383
1276	51824	29341
1277	51860	29298
1278	51902	29258
1279	51941	29216
1280	51978	29174
1281	52015	29131
1282	52053	29090
1283	52093	29048
1284	52129	29005
1285	52168	28964
1286	52206	28922
1287	52246	28881
1288	52283	28839
1289	52322	28797
1290	52360	28755
1291	52401	28715
1292	52440	28673
1293	52477	28631
1294	52515	28589
1295	52558	28550
1296	52593	28506
1297	52635	28466
1298	52672	28424
1299	52711	28382
1300	52748	28340
1301	52784	28297
1302	52821	28255
1303	52861	28214
1304	52899	28172
1305	52936	28130
1306	52972	28087
1307	53009	28045
1308	53047	28002
1309	53085	27961
1310	53126	27920
1311	53164	27878
1312	53202	27837
1313	53239	27794
1314	53279	27753
1315	53315	27710
1316	53352	27668
1317	53391	27627
1318	53429	27585
1319	53468	27544
1320	53507	27503
1321	53547	27462
1322	53588	27422
1323	53625	27379
1324	53662	27337
1325	53701	27296
1326	53741	27255
1327	53779	27213
1328	53819	27172
1329	53854	27129
1330	53893	27088
1331	53930	27046
1332	53969	27005
1333	54012	26965
1334	54051	26924
1335	54091	26883
1336	54129	26841
1337	54165	26799
1338	54204	26758
1339	54242	26716
1340	54281	26675
1341	54319	26633
1342	54358	26592
1343	54398	26551
1344	54435	26509
1345	54476	26469
1346	54514	26427
1347	54552	26385
1348	54597	26347
1349	54638	26307
1350	54676	26265
1351	54714	26223
1352	54749	26181
1353	54787	26139
1354	54826	26098
1355	54867	26057
1356	54907	26017
1357	54945	25975
1358	54982	25933
1359	55020	25891
1360	55058	25850
1361	55096	25808
1362	55134	25767
1363	55172	25725
1364	55210	25683
1365	55248	25642
1366	55287	25601
1367	55325	25559
1368	55363	25518
1369	55404	25477
1370	55444	25437
1371	55484	25396
1372	55521	25354
1373	55560	25313
1374	55605	25275
1375	55643	25233
1376	55681	25192
1377	55721	25151
1378	55758	25109
1379	55796	25068
1380	55836	25027
1381	55873	24985
1382	55909	24943
1383	55948	24901
1384	55987	24860
1385	56025	24819
1386	56062	24777
1387	56098	24735
1388	56136	24693
1389	56172	24651
1390	56209	24609
1391	56248	24568
1392	56285	24526
1393	56323	24485
1394	56362	24443
1395	56400	24402
1396	56437	24360
1397	56478	24320
1398	56519	24280
1399	56556	24238
1400	56602	24200
1401	56640	24159
1402	56679	24118
1403	56729	24081
1404	56767	24040
1405	56806	23999
1406	56845	23958
1407	56884	23917
1408	56921	23875
1409	56959	23833
1410	56995	23791
1411	57032	23750
1412	57070	23708
1413	57109	23667
1414	57148	23626
1415	57187	23585
1416	57223	23543
1417	57263	23502
1418	57303	23462
1419	57341	23421
1420	57377	23378
1421	57414	23337
1422	57450	23294
1423	57490	23254
1424	57527	23212
1425	57566	23172
1426	57604	23130
1427	57651	23092
1428	57689	23051
1429	57729	23010
1430	57768	22969
1431	57806	22928
1432	57846	22888
1433	57883	22846
1434	57921	22805
1435	57957	22763
1436	57995	22721
1437	58034	22680
1438	58072	22639
1439	58110	22598
1440	58148	22557
1441	58186	22515
1442	58227	22475
1443	58266	22434
1444	58302	22393
1445	58340	22351
1446	58378	22310
1447	58415	22268
1448	58454	22227
1449	58491	22186
1450	58530	22145
1451	58565	22103
1452	58601	22061
1453	58651	22024
1454	58691	21983
1455	58728	21942
1456	58780	21906
1457	58832	21870
1458	58887	21835
1459	58935	21798
1460	58974	21757
1461	59011	21715
1462	59049	21674
1463	59086	21632
1464	59123	21591
1465	59162	21550
1466	59203	21510
1467	59240	21468
1468	59278	21427
1469	59318	21386
1470	59355	21345
1471	59392	21303
1472	59431	21262
1473	59468	21221
1474	59507	21180
1475	59547	21140
1476	59585	21099
1477	59622	21057
1478	59662	21017
1479	59701	20976
1480	59738	20934
1481	59785	20896
1482	59824	20856
1483	59861	20814
1484	59900	20773
1485	59938	20732
1486	59977	20691
1487	60016	20650
1488	60053	20609
1489	60089	20567
1490	60127	20526
1491	60163	20484
1492	60201	20443
1493	60238	20401
1494	60274	20360
1495	60312	20319
1496	60348	20277
1497	60383	20235
1498	60420	20193
1499	60460	20153
1500	60501	20113
1501	60540	20072
1502	60579	20032
1503	60617	19990
1504	60669	19954
1505	60707	19913
1506	60745	19872
1507	60783	19831
1508	60820	19789
1509	60854	19747
1510	60892	19706
1511	60933	19666
1512	60969	19624
1513	61009	19584
1514	61049	19543
1515	61088	19503
1516	61129	19463
1517	61166	19421
1518	61205	19380
1519	61244	19340
1520	61279	19298
1521	61315	19256
1522	61357	19217
1523	61395	19176
1524	61434	19135
1525	61473	19094
1526	61513	19054
1527	61552	19013
1528	61594	18973
1529	61634	18933
1530	61680	18894
1531	61719	18854
1532	61758	18813
1533	61794	18772
1534	61831	18730
1535	61868	18689
1536	61906	18648
1537	61946	18608
1538	61986	18567
1539	62026	18527
1540	62065	18486
1541	62103	18445
1542	62140	18404
1543	62176	18362
1544	62215	18322
1545	62254	18281
1546	62290	18240
1547	62328	18199
1548	62368	18158
1549	62405	18117
1550	62446	18077
1551	62482	18036
1552	62520	17995
1553	62560	17954
1554	62597	17913
1555	62637	17873
1556	62680	17833
1557	62721	17793
1558	62757	17752
1559	62797	17712
1560	62842	17673
1561	62882	17632
1562	62920	17591
1563	62958	17551
1564	62997	17510
1565	63036	17469
1566	63075	17429
1567	63111	17387
1568	63148	17346
1569	63186	17305
1570	63224	17264
1571	63263	17224
1572	63303	17184
1573	63339	17142
1574	63375	17101
1575	63414	17060
1576	63452	17019
1577	63488	16978
1578	63531	16939
1579	63567	16897
1580	63603	16856
1581	63643	16816
1582	63685	16776
1583	63722	16735
1584	63760	16694
1585	63800	16653
1586	63838	16613
1587	63876	16572
1588	63913	16531
1589	63949	16490
1590	63989	16449
1591	64028	16409
1592	64066	16368
1593	64103	16327
1594	64144	16287
1595	64181	16246
1596	64221	16206
1597	64260	16165
1598	64297	16124
1599	64334	16083
1600	64372	16042
1601	64412	16002
1602	64453	15962
1603	64489	15921
1604	64530	15881
1605	64571	15841
1606	64609	15800
1607	64647	15759
1608	64691	15720
1609	64731	15680
1610	64768	15639
1611	64806	15598
1612	64845	15558
1613	64884	15517
1614	64919	15476
1615	64957	15435
1616	64996	15395
1617	65035	15354
1618	65073	15313
1619	65112	15273
1620	65151	15232
1621	65187	15191
1622	65225	15150
1623	65262	15110
1624	65299	15069
1625	65339	15028
1626	65376	14987
1627	65414	14947
1628	65450	14906
1629	65485	14864
1630	65524	14824
1631	65563	14783
1632	65601	14743
1633	65639	14702
1634	65675	14661
1635	65723	14623
1636	65763	14582
1637	65802	14542
1638	65840	14501
1639	65878	14461
1640	65918	14421
1641	65958	14380
1642	65996	14340
1643	66033	14299
1644	66070	14258
1645	66106	14217
1646	66144	14176
1647	66188	14137
1648	66226	14096
1649	66267	14056
1650	66310	14017
1651	66354	13977
1652	66401	13939
1653	66449	13900
1654	66491	13860
1655	66534	13821
1656	66571	13780
1657	66614	13740
1658	66650	13699
1659	66686	13658
1660	66729	13619
1661	66766	13578
1662	66803	13537
1663	66843	13497
1664	66882	13456
1665	66921	13416
