iter	Logloss
0	0.6645701349
1	0.6373035981
2	0.6125407158
3	0.5893828264
4	0.5691782165
5	0.5514982834
6	0.5349438573
7	0.5205590467
8	0.5079285528
9	0.4954398889
10	0.484561446
11	0.4750215629
12	0.4663570291
13	0.4590131026
14	0.4515254702
15	0.4449366524
16	0.4388873798
17	0.4336145623
18	0.42825291
19	0.4235904269
20	0.4198747756
21	0.4162958824
22	0.4124729759
23	0.4092478432
24	0.4063768763
25	0.4034598386
26	0.4011216723
27	0.3990168548
28	0.3968008809
29	0.3947059198
30	0.3926837891
31	0.390634646
32	0.3889587294
33	0.3874161652
34	0.3859256368
35	0.3846638734
36	0.3831883773
37	0.3818896075
38	0.3806207969
39	0.3796531629
40	0.3785553173
41	0.3776318631
42	0.3768005481
43	0.3757856989
44	0.3750127158
45	0.3741962158
46	0.3734098236
47	0.372720094
48	0.3721494546
49	0.3713254376
50	0.3707210031
51	0.3700335905
52	0.3693975608
53	0.3689154078
54	0.3683680731
55	0.3679897679
56	0.3674587466
57	0.3670114354
58	0.3665557088
59	0.366104073
60	0.3657370733
61	0.3653365461
62	0.3648215004
63	0.3644901665
64	0.364195111
65	0.3637724114
66	0.3634495399
67	0.3631105937
68	0.3628583548
69	0.3625219801
70	0.3620662453
71	0.3618126342
72	0.3614773836
73	0.3611182244
74	0.3607889401
75	0.3604685943
76	0.3602004227
77	0.359862759
78	0.3596303712
79	0.3593768012
80	0.3591881002
81	0.3589795056
82	0.358729828
83	0.3585490779
84	0.3583711778
85	0.3581338747
86	0.3579594806
87	0.35779299
88	0.3575910538
89	0.3574184732
90	0.3572058675
91	0.3570293529
92	0.3568437929
93	0.3566718173
94	0.3564945672
95	0.3562087555
96	0.3559961052
97	0.3557827634
98	0.3555811213
99	0.3553987134
100	0.3552342393
101	0.3550086797
102	0.3548060964
103	0.3546206136
104	0.3544268236
105	0.3543166991
106	0.3541510658
107	0.3539053614
108	0.3536715939
109	0.3535202
110	0.3534001513
111	0.3532586033
112	0.3531302865
113	0.3530140912
114	0.3528776742
115	0.3527286049
